Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
604,805.03,1566.16,2362.39,819.76,1503.50,2343.77,733.94,1450.67,2278.61
605,804.79,1566.32,2362.39,819.66,1503.57,2343.78,733.72,1450.69,2278.61
606,804.54,1566.47,2362.40,819.55,1503.64,2343.79,733.50,1450.70,2278.60
607,804.30,1566.63,2362.40,819.45,1503.72,2343.81,733.28,1450.72,2278.59
608,804.06,1566.78,2362.40,819.35,1503.79,2343.82,733.06,1450.73,2278.59
609,803.81,1566.93,2362.40,819.24,1503.86,2343.83,732.84,1450.74,2278.58
610,803.57,1567.09,2362.40,819.14,1503.94,2343.85,732.61,1450.76,2278.58
611,803.32,1567.24,2362.40,819.03,1504.01,2343.86,732.39,1450.77,2278.57
612,803.08,1567.40,2362.40,818.92,1504.08,2343.87,732.17,1450.79,2278.56
613,802.83,1567.55,2362.40,818.81,1504.16,2343.88,731.95,1450.80,2278.55
614,802.58,1567.70,2362.40,818.70,1504.23,2343.90,731.73,1450.81,2278.55
615,802.33,1567.86,2362.40,818.59,1504.30,2343.91,731.51,1450.83,2278.54
616,802.08,1568.01,2362.40,818.48,1504.38,2343.92,731.29,1450.84,2278.53
617,801.83,1568.17,2362.40,818.37,1504.45,2343.94,731.07,1450.85,2278.52
618,801.57,1568.32,2362.40,818.26,1504.53,2343.95,730.85,1450.87,2278.52
619,801.32,1568.47,2362.40,818.15,1504.60,2343.96,730.62,1450.88,2278.51
620,801.07,1568.63,2362.40,818.04,1504.67,2343.97,730.40,1450.89,2278.50
621,800.81,1568.78,2362.40,817.92,1504.75,2343.99,730.18,1450.91,2278.49
622,800.56,1568.94,2362.40,817.81,1504.82,2344.00,729.96,1450.92,2278.48
623,800.30,1569.09,2362.39,817.69,1504.90,2344.01,729.74,1450.93,2278.47
624,800.04,1569.25,2362.39,817.57,1504.97,2344.03,729.52,1450.94,2278.46
625,799.78,1569.40,2362.39,817.46,1505.05,2344.04,729.30,1450.95,2278.45
626,799.52,1569.56,2362.39,817.34,1505.12,2344.05,729.08,1450.97,2278.45
627,799.26,1569.71,2362.39,817.22,1505.20,2344.06,728.86,1450.98,2278.44
628,799.00,1569.86,2362.38,817.10,1505.27,2344.08,728.64,1450.99,2278.43
629,798.74,1570.02,2362.38,816.98,1505.35,2344.09,728.42,1451.00,2278.42
630,798.48,1570.17,2362.38,816.86,1505.42,2344.10,728.20,1451.01,2278.41
631,798.21,1570.33,2362.38,816.74,1505.50,2344.12,727.98,1451.02,2278.40
632,797.95,1570.48,2362.37,816.61,1505.57,2344.13,727.75,1451.04,2278.39
633,797.68,1570.64,2362.37,816.49,1505.65,2344.14,727.53,1451.05,2278.38
634,797.42,1570.79,2362.37,816.37,1505.72,2344.16,727.31,1451.06,2278.37
635,797.15,1570.95,2362.36,816.24,1505.80,2344.17,727.09,1451.07,2278.35
636,796.88,1571.10,2362.36,816.11,1505.87,2344.18,726.87,1451.08,2278.34
637,796.61,1571.26,2362.36,815.99,1505.95,2344.19,726.65,1451.09,2278.33
638,796.34,1571.41,2362.35,815.86,1506.03,2344.21,726.43,1451.10,2278.32
639,796.07,1571.57,2362.35,815.73,1506.10,2344.22,726.21,1451.11,2278.31
640,795.80,1571.72,2362.35,815.60,1506.18,2344.23,725.99,1451.12,2278.30
