Index,M1,M2,M3,M4,skew,kurt
1091,3221.80,924764.32,2014863492.38,7901449737501.05,2.30,6.30
1092,3218.91,922728.54,2010877040.89,7885767008041.71,2.30,6.34
1093,3216.02,920701.56,2006915256.42,7870077764850.93,2.31,6.38
1094,3213.14,918682.62,2002977621.43,7854383682534.19,2.31,6.42
1095,3210.26,916670.92,1999063572.97,7838686446101.57,2.32,6.45
1096,3207.38,914665.69,1995172501.89,7822987750944.24,2.32,6.49
1097,3204.51,912666.10,1991303752.07,7807289302818.02,2.33,6.53
1098,3201.65,910671.32,1987456619.70,7791592817813.19,2.33,6.57
1099,3198.79,908680.48,1983630352.47,7775900022339.13,2.34,6.61
1100,3195.94,906692.72,1979824148.84,7760212653096.67,2.34,6.64
1101,3193.10,904707.14,1976037157.19,7744532457058.48,2.35,6.68
1102,3190.25,902722.83,1972268475.10,7728861191440.89,2.35,6.72
1103,3187.42,900738.85,1968517148.52,7713200623682.59,2.36,6.76
